Doug Shipley,,Barrie—Springwater—Oro-Medonte,,Doug.Shipley@parl.gc.ca
Terry Sheehan,,Sault Ste. Marie—Algoma,,terry.sheehan@parl.gc.ca
Honourable Judy A. Sgro,,Humber River—Black Creek,,judy.sgro@parl.gc.ca
Kyle Seeback,,Dufferin—Caledon,,Kyle.Seeback@parl.gc.ca
Jamie Schmale,,Haliburton—Kawartha Lakes,,jamie.schmale@parl.gc.ca
Peter Schiefke,,Vaudreuil,,peter.schiefke@parl.gc.ca
Honourable Andrew Scheer,,Regina—Qu'Appelle,,andrew.scheer@parl.gc.ca
Honourable Francis Scarpaleggia,,Lac-Saint-Louis,,francis.scarpaleggia@parl.gc.ca
Jake Sawatzky,,New Westminster—Burnaby—Maillardville,,jake.sawatzky@parl.gc.ca
Simon-Pierre Savard-Tremblay,,Saint-Hyacinthe—Bagot—Acton,,Simon-Pierre.Savard-Tremblay@parl.gc.ca
Abdelhaq Sari,,Bourassa,,abdelhaq.sari@parl.gc.ca
Honourable Randeep Sarai,,Surrey Centre,,randeep.sarai@parl.gc.ca
Gurbux Saini,,Fleetwood—Port Kells,,gurbux.saini@parl.gc.ca
Honourable Ruby Sahota,,Brampton North—Caledon,,ruby.sahota@parl.gc.ca
Alex Ruff,,Bruce—Grey—Owen Sound,,Alex.Ruff@parl.gc.ca
Zoe Royer,,Port Moody—Coquitlam,,zoe.royer@parl.gc.ca
Jonathan Rowe,,Terra Nova—The Peninsulas,,jonathan.rowe@parl.gc.ca
Ellis Ross,,Skeena—Bulkley Valley,,ellis.ross@parl.gc.ca
Lianne Rood,,Middlesex—London,,Lianne.Rood@parl.gc.ca
Sherry Romanado,,Longueuil—Charles-LeMoyne,,sherry.romanado@parl.gc.ca
Pauline Rochefort,,Nipissing—Timiskaming,,pauline.rochefort@parl.gc.ca
Honourable Gregor Robertson,,Vancouver Fraserview—South Burnaby,,gregor.robertson@parl.gc.ca
Anna Roberts,,King—Vaughan,,anna.roberts@parl.gc.ca
Blake Richards,,Airdrie—Cochrane,,blake.richards@parl.gc.ca
Colin Reynolds,,Elmwood—Transcona,,colin.reynolds@parl.gc.ca
Honourable Michelle Rempel Garner,,Calgary Nose Hill,,michelle.rempel@parl.gc.ca
Scott Reid,,Lanark—Frontenac,,scott.reid@parl.gc.ca
Brad Redekopp,,Saskatoon West,,Brad.Redekopp@parl.gc.ca
Aslam Rana,,Hamilton Centre,,aslam.rana@parl.gc.ca
Jacques Ramsay,,La Prairie—Atateken,,jacques.ramsay@parl.gc.ca
Honourable Nathalie Provost,,Châteauguay—Les Jardins-de-Napierville,,nathalie.provost@parl.gc.ca
Marcus Powlowski,,Thunder Bay—Rainy River,,Marcus.Powlowski@parl.gc.ca
Louis Plamondon,,Bécancour—Nicolet—Saurel—Alnôbak,,louis.plamondon@parl.gc.ca
Honourable Ginette Petitpas Taylor,,Moncton—Dieppe,,ginette.petitpastaylor@parl.gc.ca
Yves Perron,,Berthier—Maskinongé,,Yves.Perron@parl.gc.ca
Pierre Paul-Hus,,Charlesbourg—Haute-Saint-Charles,,Pierre.Paul-Hus@parl.gc.ca
Jeremy Patzer,,Swift Current—Grasslands—Kindersley,,Jeremy.Patzer@parl.gc.ca
Tom Osborne,,Cape Spear,,tom.osborne@parl.gc.ca
Honourable Eleanor Olszewski,,Edmonton Centre,,eleanor.olszewski@parl.gc.ca
Honourable Robert Oliphant,,Don Valley West,,rob.oliphant@parl.gc.ca
Dominique O'Rourke,,Guelph,,dominique.orourke@parl.gc.ca
Bienvenu-Olivier Ntumba,,Mont-Saint-Bruno—L'Acadie,,bienvenu-olivier.ntumba@parl.gc.ca
Christine Normandin,,Saint-Jean,,Christine.Normandin@parl.gc.ca
Taleeb Noormohamed,,Vancouver Granville,,taleeb.noormohamed@parl.gc.ca
Chi Nguyen,,Spadina—Harbourfront,,chi.nguyen@parl.gc.ca
Juanita Nathan,,Pickering—Brooklin,,juanita.nathan@parl.gc.ca
John Nater,,Perth—Wellington,,john.nater@parl.gc.ca
Yasir Naqvi,,Ottawa Centre,,yasir.naqvi@parl.gc.ca
David Myles,,Fredericton—Oromocto,,david.myles@parl.gc.ca
Dan Muys,,Flamborough—Glanbrook—Brant North,,dan.muys@parl.gc.ca
Glen Motz,,Medicine Hat—Cardston—Warner,,glen.motz@parl.gc.ca
Robert J. Morrissey,,Egmont,,robert.morrissey@parl.gc.ca
Rob Morrison,,Columbia—Kootenay—Southern Rockies,,Rob.Morrison@parl.gc.ca
Billy Morin,,Edmonton Northwest,,billy.morin@parl.gc.ca
Honourable Rob Moore,,Fundy Royal,,Rob.Moore@parl.gc.ca
Giovanna Mingarelli,,Prescott—Russell—Cumberland,,giovanna.mingarelli@parl.gc.ca
Honourable Marc Miller,,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,,Marc.Miller@parl.gc.ca
Shannon Miedema,,Halifax,,shannon.miedema@parl.gc.ca
Honourable Marjorie Michel,,Papineau,,marjorie.michel@parl.gc.ca
Costas Menegakis,,Aurora—Oak Ridges—Richmond Hill,,costas.menegakis@parl.gc.ca
Alexandra Mendès,,Brossard—Saint-Lambert,,alexandra.mendes@parl.gc.ca
Marie-Gabrielle Ménard,,Hochelaga—Rosemont-Est,,marie-gabrielle.menard@parl.gc.ca
Eric Melillo,,Kenora—Kiiwetinoong,,Eric.Melillo@parl.gc.ca
Heather McPherson,,Edmonton Strathcona,,Heather.McPherson@parl.gc.ca
Honourable Stephanie McLean,,Esquimalt—Saanich—Sooke,,stephanie.mclean@parl.gc.ca
Greg McLean,,Calgary Centre,,greg.mclean@parl.gc.ca
Honourable Jill McKnight,,Delta,,jill.mcknight@parl.gc.ca
Ron McKinnon,,Coquitlam—Port Coquitlam,,ron.mckinnon@parl.gc.ca
David McKenzie,,Calgary Signal Hill,,david.mckenzie@parl.gc.ca
Jennifer McKelvie,,Ajax,,jennifer.mckelvie@parl.gc.ca
Honourable David J. McGuinty,,Ottawa South,,david.mcguinty@parl.gc.ca
Kelly McCauley,,Edmonton West,,kelly.mccauley@parl.gc.ca
Dan Mazier,,Riding Mountain,,Dan.Mazier@parl.gc.ca
Elizabeth May,,Saanich—Gulf Islands,,elizabeth.may@parl.gc.ca
Richard Martel,,Chicoutimi—Le Fjord,,Richard.Martel@parl.gc.ca
Jacob Mantle,,York—Durham,,jacob.mantle@parl.gc.ca
James Maloney,,Etobicoke—Lakeshore,,james.maloney@parl.gc.ca
Gaétan Malette,,Kapuskasing—Timmins—Mushkegowuk,,gaetan.malette@parl.gc.ca
Chris Malette,,Bay of Quinte,,chris.malette@parl.gc.ca
Shuvaloy Majumdar,,Calgary Heritage,,shuvaloy.majumdar@parl.gc.ca
Jagsharan Singh Mahal,,Edmonton Southeast,,jagsharansingh.mahal@parl.gc.ca
Honourable Steven MacKinnon,,Gatineau,,Steven.MacKinnon@parl.gc.ca
Kent MacDonald,,Cardigan,,kent.macdonald@parl.gc.ca
Honourable Heath MacDonald,,Malpeque,,heath.macdonald@parl.gc.ca
Michael Ma,,Markham—Unionville,,michael.ma@parl.gc.ca
Tim Louis,,Kitchener—Conestoga,,Tim.Louis@parl.gc.ca
Honourable Wayne Long,,Saint John—Kennebecasis,,wayne.long@parl.gc.ca
Ben Lobb,,Huron—Bruce,,ben.lobb@parl.gc.ca
Dane Lloyd,,Parkland,,Dane.Lloyd@parl.gc.ca
Honourable Joël Lightbound,,Louis-Hébert,,joel.lightbound@parl.gc.ca
Leslyn Lewis,,Haldimand—Norfolk,,leslyn.lewis@parl.gc.ca
Chris Lewis,,Essex,,Chris.Lewis@parl.gc.ca
Branden Leslie,,Portage—Lisgar,,branden.leslie@parl.gc.ca
Sébastien Lemire,,Abitibi—Témiscamingue,,Sebastien.Lemire@parl.gc.ca
Carlos Leitao,,Marc-Aurèle-Fortin,,carlos.leitao@parl.gc.ca
Eric Lefebvre,,Richmond—Arthabaska,,eric.lefebvre@parl.gc.ca
Honourable Dominic LeBlanc,,Beauséjour,,dominic.leblanc@parl.gc.ca
Andrew Lawton,,Elgin—St. Thomas—London South,,andrew.lawton@parl.gc.ca
Philip Lawrence,,Northumberland—Clarke,,Philip.Lawrence@parl.gc.ca
Steeve Lavoie,,Beauport—Limoilou,,steeve.lavoie@parl.gc.ca
Ginette Lavack,,St. Boniface—St. Vital,,ginette.lavack@parl.gc.ca
Stéphane Lauzon,,Argenteuil—La Petite-Nation,,stephane.lauzon@parl.gc.ca
Patricia Lattanzio,,Saint-Léonard—Saint-Michel,,Patricia.Lattanzio@parl.gc.ca
Andréanne Larouche,,Shefford,,Andreanne.Larouche@parl.gc.ca
Viviane Lapointe,,Sudbury,,viviane.lapointe@parl.gc.ca
Linda Lapointe,,Rivière-des-Mille-Îles,,linda.lapointe@parl.gc.ca
Melissa Lantsman,,Thornhill,,melissa.lantsman@parl.gc.ca
Honourable Kevin Lamoureux,,Winnipeg North,,kevin.lamoureux@parl.gc.ca
Emmanuella Lambropoulos,,Saint-Laurent,,emmanuella.lambropoulos@parl.gc.ca
Marie-France Lalonde,,Orléans,,Marie-France.Lalonde@parl.gc.ca
Honourable Mike Lake,,Leduc—Wetaskiwin,,mike.lake@parl.gc.ca
Jenny Kwan,,Vancouver East,,jenny.kwan@parl.gc.ca
Stephanie Kusie,,Calgary Midnapore,,stephanie.kusie@parl.gc.ca
Ned Kuruc,,Hamilton East—Stoney Creek,,ned.kuruc@parl.gc.ca
Damien C. Kurek,,Battle River—Crowfoot,,Damien.Kurek@parl.gc.ca
Tamara Kronis,,Nanaimo—Ladysmith,,tamara.kronis@parl.gc.ca
Shelby Kramp-Neuman,,Hastings—Lennox and Addington—Tyendinaga,,shelby.kramp-neuman@parl.gc.ca
Michael Kram,,Regina—Wascana,,Michael.Kram@parl.gc.ca
Annie Koutrakis,,Vimy,,Annie.Koutrakis@parl.gc.ca
Helena Konanz,,Similkameen—South Okanagan—West Kootenay,,helena.konanz@parl.gc.ca
Tom Kmiec,,Calgary Shepard,,tom.kmiec@parl.gc.ca
Ernie Klassen,,South Surrey—White Rock,,ernie.klassen@parl.gc.ca
Rhonda Kirkland,,Oshawa,,rhonda.kirkland@parl.gc.ca
Jeff Kibble,,Cowichan—Malahat—Langford,,jeff.kibble@parl.gc.ca
Arpan Khanna,,Oxford,,arpan.khanna@parl.gc.ca
Iqra Khalid,,Mississauga—Erin Mills,,iqra.khalid@parl.gc.ca
Pat Kelly,,Calgary Crowfoot,,pat.kelly@parl.gc.ca
Mike Kelloway,,Sydney—Glace Bay,,Mike.Kelloway@parl.gc.ca
Honourable Arielle Kayabaga,,London West,,arielle.kayabaga@parl.gc.ca
Natilien Joseph,,Longueuil—Saint-Hubert,,natilien.joseph@parl.gc.ca
Honourable Mélanie Joly,,Ahuntsic-Cartierville,,melanie.joly@parl.gc.ca
Gord Johns,,Courtenay—Alberni,,gord.johns@parl.gc.ca
Jamil Jivani,,Bowmanville—Oshawa North,,jamil.jivani@parl.gc.ca
Matt Jeneroux,,Edmonton Riverbend,,matt.jeneroux@parl.gc.ca
Tamara Jansen,,Cloverdale—Langley City,,tamara.jansen@parl.gc.ca
Honourable Helena Jaczek,,Markham—Stouffville,,Helena.Jaczek@parl.gc.ca
Grant Jackson,,Brandon—Souris,,grant.jackson@parl.gc.ca
Lori Idlout,,Nunavut,,lori.idlout@parl.gc.ca
Angelo Iacono,,Alfred-Pellan,,angelo.iacono@parl.gc.ca
Honourable Ahmed Hussen,,York South—Weston—Etobicoke,,ahmed.hussen@parl.gc.ca
Anthony Housefather,,Mount Royal,,anthony.housefather@parl.gc.ca
Kurt Holman,,London—Fanshawe,,kurt.holman@parl.gc.ca
Corey Hogan,,Calgary Confederation,,corey.hogan@parl.gc.ca
Honourable Tim Hodgson,,Markham—Thornhill,,tim.hodgson@parl.gc.ca
Randy Hoback,,Prince Albert,,randy.hoback@parl.gc.ca
Vincent Neil Ho,,Richmond Hill South,,vincent.ho@parl.gc.ca
Alana Hirtle,,Cumberland—Colchester,,alana.hirtle@parl.gc.ca
Lisa Hepfner,,Hamilton Mountain,,lisa.hepfner@parl.gc.ca
Emma Harrison Hill,,Peterborough,,emma-lee.harrisonhill@parl.gc.ca
Gabriel Hardy,,Montmorency—Charlevoix,,gabriel.hardy@parl.gc.ca
Brendan Hanley,,Yukon,,brendan.hanley@parl.gc.ca
Jasraj Singh Hallan,,Calgary East,,JasrajSingh.Hallan@parl.gc.ca
Honourable Patty Hajdu,,Thunder Bay—Superior North,,patty.hajdu@parl.gc.ca
Aaron Gunn,,North Island—Powell River,,aaron.gunn@parl.gc.ca
Honourable Mandy Gull-Masty,,Abitibi—Baie-James—Nunavik—Eeyou,,mandy.gull-masty@parl.gc.ca
Honourable Steven Guilbeault,,Laurier—Sainte-Marie,,Steven.Guilbeault@parl.gc.ca
Michael Guglielmin,,Vaughan—Woodbridge,,michael.guglielmin@parl.gc.ca
Claude Guay,,LaSalle—Émard—Verdun,,claude.guay@parl.gc.ca
Jason Groleau,,Beauce,,jason.groleau@parl.gc.ca
Will Greaves,,Victoria,,will.greaves@parl.gc.ca
Wade Grant,,Vancouver Quadra,,wade.grant@parl.gc.ca
Jacques Gourde,,Lévis—Lotbinière,,jacques.gourde@parl.gc.ca
Honourable Karina Gould,,Burlington,,karina.gould@parl.gc.ca
Laila Goodridge,,Fort McMurray—Cold Lake,,laila.goodridge@parl.gc.ca
Joël Godin,,Portneuf—Jacques-Cartier,,joel.godin@parl.gc.ca
Marilyn Gladu,,Sarnia—Lambton—Bkejwanong,,marilyn.gladu@parl.gc.ca
Sukhman Gill,,Abbotsford—South Langley,,sukhman.gill@parl.gc.ca
Marilène Gill,,Côte-Nord—Kawawachikamach—Nitassinan,,marilene.gill@parl.gc.ca
Harb Gill,,Windsor West,,harb.gill@parl.gc.ca
Dalwinder Gill,,Calgary McKnight,,dalwinder.gill@parl.gc.ca
Amarjeet Gill,,Brampton West,,amarjeet.gill@parl.gc.ca
Amanpreet S. Gill,,Calgary Skyview,,amanpreetsingh.gill@parl.gc.ca
Honourable Mark Gerretsen,,Kingston and the Islands,,mark.gerretsen@parl.gc.ca
Garnett Genuis,,Sherwood Park—Fort Saskatchewan,,garnett.genuis@parl.gc.ca
Bernard Généreux,,Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata,,bernard.genereux@parl.gc.ca
Leah Gazan,,Winnipeg Centre,,Leah.Gazan@parl.gc.ca
Marie-Hélène Gaudreau,,Laurentides—Labelle,,MH.Gaudreau@parl.gc.ca
Vince Gasparro,,Eglinton—Lawrence,,vince.gasparro@parl.gc.ca
Jean-Denis Garon,,Mirabel,,jean-denis.garon@parl.gc.ca
Cheryl Gallant,,Algonquin—Renfrew—Pembroke,,cheryl.gallant@parl.gc.ca
Honourable Anna Gainey,,Notre-Dame-de-Grâce—Westmount,,anna.gainey@parl.gc.ca
Iqwinder Gaheer,,Mississauga—Malton,,iqwinder.gaheer@parl.gc.ca
Honourable Stephen Fuhr,,Kelowna,,stephen.fuhr@parl.gc.ca
Honourable Hedy Fry,,Vancouver Centre,,hedy.fry@parl.gc.ca
Honourable Chrystia Freeland,,University—Rosedale,,chrystia.freeland@parl.gc.ca
Honourable Sean Fraser,,Central Nova,,sean.fraser@parl.gc.ca
Peter Fragiskatos,,London Centre,,peter.fragiskatos@parl.gc.ca
Rhéal Éloi Fortin,,Rivière-du-Nord,,rheal.fortin@parl.gc.ca
Honourable Mona Fortier,,Ottawa—Vanier—Gloucester,,mona.fortier@parl.gc.ca
Peter Fonseca,,Mississauga East—Cooksville,,peter.fonseca@parl.gc.ca
Honourable Darren Fisher,,Dartmouth—Cole Harbour,,darren.fisher@parl.gc.ca
Honourable Greg Fergus,,Hull—Aylmer,,Greg.Fergus@parl.gc.ca
Bruce Fanjoy,,Carleton,,bruce.fanjoy@parl.gc.ca
Jessica Fancy-Landry,,South Shore—St. Margarets,,jessica.fancy-landry@parl.gc.ca
Ted Falk,,Provencher,,ted.falk@parl.gc.ca
Rosemarie Falk,,Battlefords—Lloydminster—Meadow Lake,,Rosemarie.Falk@parl.gc.ca
Doug Eyolfson,,Winnipeg West,,doug.eyolfson@parl.gc.ca
Honourable Nathaniel Erskine-Smith,,Beaches—East York,,nathaniel.erskine-smith@parl.gc.ca
Dave Epp,,Chatham-Kent—Leamington,,Dave.Epp@parl.gc.ca
Fayçal El-Khoury,,Laval—Les Îles,,faycal.el-khoury@parl.gc.ca
Honourable Ali Ehsassi,,Willowdale,,ali.ehsassi@parl.gc.ca
Philip Earle,,Labrador,,philip.earle@parl.gc.ca
Julie Dzerowicz,,Davenport,,julie.dzerowicz@parl.gc.ca
Eric Duncan,,Stormont—Dundas—Glengarry,,Eric.Duncan@parl.gc.ca
Honourable Terry Duguid,,Winnipeg South,,terry.duguid@parl.gc.ca
Honourable Jean-Yves Duclos,,Québec Centre,,jean-yves.duclos@parl.gc.ca
Terry Dowdall,,Simcoe—Grey,,Terry.Dowdall@parl.gc.ca
Todd Doherty,,Cariboo—Prince George,,todd.doherty@parl.gc.ca
Kerry Diotte,,Edmonton Griesbach,,kerry.diotte@parl.gc.ca
Honourable Lena Metlege Diab,,Halifax West,,lenametlege.diab@parl.gc.ca
Anju Dhillon,,Dorval—Lachine—LaSalle,,anju.dhillon@parl.gc.ca
Sukh Dhaliwal,,Surrey Newton,,sukh.dhaliwal@parl.gc.ca
Caroline Desrochers,,Trois-Rivières,,caroline.desrochers@parl.gc.ca
Alexis Deschênes,,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,,alexis.deschenes@parl.gc.ca
Guillaume Deschênes-Thériault,,Madawaska—Restigouche,,guillaume.deschenes-theriault@parl.gc.ca
Kelly DeRidder,,Kitchener Centre,,kelly.deridder@parl.gc.ca
Gérard Deltell,,Louis-Saint-Laurent—Akiawenhrahk,,gerard.deltell@parl.gc.ca
Claude DeBellefeuille,,Beauharnois—Salaberry—Soulanges—Huntingdon,,Claude.DeBellefeuille@parl.gc.ca
Mike Dawson,,Miramichi—Grand Lake,,mike.dawson@parl.gc.ca
Fred Davies,,Niagara South,,fred.davies@parl.gc.ca
Don Davies,,Vancouver Kingsway,,don.davies@parl.gc.ca
Scot Davidson,,New Tecumseth—Gwillimbury,,Scot.Davidson@parl.gc.ca
John-Paul Danko,,Hamilton West—Ancaster—Dundas,,john-paul.danko@parl.gc.ca
Marianne Dandurand,,Compton—Stanstead,,marianne.dandurand@parl.gc.ca
Raquel Dancho,,Kildonan—St. Paul,,Raquel.Dancho@parl.gc.ca
Marc Dalton,,Pitt Meadows—Maple Ridge,,Marc.Dalton@parl.gc.ca
Honourable Julie Dabrusin,,Toronto—Danforth,,julie.dabrusin@parl.gc.ca
Chris d'Entremont,,Acadie—Annapolis,,Chris.dEntremont@parl.gc.ca
Michael Coteau,,Scarborough—Woburn,,michael.coteau@parl.gc.ca
Serge Cormier,,Acadie—Bathurst,,serge.cormier@parl.gc.ca
Michael Cooper,,St. Albert—Sturgeon River,,michael.cooper@parl.gc.ca
Paul Connors,,Avalon,,paul.connors@parl.gc.ca
Connie Cody,,Cambridge,,connie.cody@parl.gc.ca
Sandra Cobena,,Newmarket—Aurora,,sandra.cobena@parl.gc.ca
Braedon Clark,,Sackville—Bedford—Preston,,braedon.clark@parl.gc.ca
Leslie Church,,Toronto—St. Paul's,,leslie.church@parl.gc.ca
Honourable Michael D. Chong,,Wellington—Halton Hills North,,michael.chong@parl.gc.ca
Maggie Chi,,Don Valley North,,maggie.chi@parl.gc.ca
Madeleine Chenette,,Thérèse-De Blainville,,madeleine.chenette@parl.gc.ca
Shaun Chen,,Scarborough North,,shaun.chen@parl.gc.ca
Sophie Chatel,,Pontiac—Kitigan Zibi,,sophie.chatel@parl.gc.ca
Honourable Rebecca Chartrand,,Churchill—Keewatinook Aski,,rebecca.chartrand@parl.gc.ca
Wade Chang,,Burnaby Central,,wade.chang@parl.gc.ca
Martin Champoux,,Drummond,,Martin.Champoux@parl.gc.ca
Honourable François-Philippe Champagne,,Saint-Maurice—Champlain,,francois-philippe.champagne@parl.gc.ca
Adam Chambers,,Simcoe North,,adam.chambers@parl.gc.ca
Honourable Bardish Chagger,,Waterloo,,bardish.chagger@parl.gc.ca
Sean Casey,,Charlottetown,,sean.casey@parl.gc.ca
Ben Carr,,Winnipeg South Centre,,ben.carr@parl.gc.ca
Right Honourable Mark Carney,,Nepean,,mark.carney@parl.gc.ca
Frank Caputo,,Kamloops—Thompson—Nicola,,frank.caputo@parl.gc.ca
Blaine Calkins,,Ponoka—Didsbury,,blaine.calkins@parl.gc.ca
Alexis Brunelle-Duceppe,,Lac-Saint-Jean,,Alexis.Brunelle-Duceppe@parl.gc.ca
Larry Brock,,Brantford—Brant South—Six Nations,,larry.brock@parl.gc.ca
Honourable Élisabeth Brière,,Sherbrooke,,Elisabeth.Briere@parl.gc.ca
John Brassard,,Barrie South—Innisfil,,john.brassard@parl.gc.ca
Richard Bragdon,,Tobique—Mactaquac,,Richard.Bragdon@parl.gc.ca
Alexandre Boulerice,,Rosemont—La Petite-Patrie,,Alexandre.Boulerice@parl.gc.ca
Kathy Borrelli,,Windsor—Tecumseh—Lakeshore,,kathy.borrelli@parl.gc.ca
Steven Bonk,,Souris—Moose Mountain,,steven.bonk@parl.gc.ca
Patrick Bonin,,Repentigny,,patrick.bonin@parl.gc.ca
Honourable Kody Blois,,Kings—Hants,,Kody.Blois@parl.gc.ca
Kelly Block,,Carlton Trail—Eagle Creek,,kelly.block@parl.gc.ca
Maxime Blanchette-Joncas,,Rimouski—La Matapédia,,Maxime.Blanchette-Joncas@parl.gc.ca
Yves-François Blanchet,,Beloeil—Chambly,,Yves-Francois.Blanchet@parl.gc.ca
Honourable Bill Blair,,Scarborough Southwest,,bill.blair@parl.gc.ca
Chris Bittle,,St. Catharines,,chris.bittle@parl.gc.ca
James Bezan,,Selkirk—Interlake—Eastman,,james.bezan@parl.gc.ca
David Bexte,,Bow River,,david.bexte@parl.gc.ca
Luc Berthold,,Mégantic—L'Érable—Lotbinière,,luc.berthold@parl.gc.ca
Honourable Rachel Bendayan,,Outremont,,Rachel.Bendayan@parl.gc.ca
Jim Bélanger,,Sudbury East—Manitoulin—Nickel Belt,,jim.belanger@parl.gc.ca
Honourable Buckley Belanger,,Desnethé—Missinippi—Churchill River,,buckley.belanger@parl.gc.ca
Honourable Terry Beech,,Burnaby North—Seymour,,terry.beech@parl.gc.ca
Mario Beaulieu,,La Pointe-de-l'Île,,mario.beaulieu@parl.gc.ca
Jaime Battiste,,Cape Breton—Canso—Antigonish,,Jaime.Battiste@parl.gc.ca
Xavier Barsalou-Duval,,Pierre-Boucher—Les Patriotes—Verchères,,xavier.barsalou-duval@parl.gc.ca
Michael Barrett,,Leeds—Grenville—Thousand Islands—Rideau Lakes,,Michael.Barrett@parl.gc.ca
John Barlow,,Foothills,,john.barlow@parl.gc.ca
Karim Bardeesy,,Taiaiako'n—Parkdale—High Park,,karim.bardeesy@parl.gc.ca
Tony Baldinelli,,Niagara Falls—Niagara-on-the-Lake,,Tony.Baldinelli@parl.gc.ca
Yvan Baker,,Etobicoke Centre,,Yvan.Baker@parl.gc.ca
Parm Bains,,Richmond East—Steveston,,parm.bains@parl.gc.ca
Burton Bailey,,Red Deer,,burton.bailey@parl.gc.ca
Roman Baber,,York Centre,,roman.baber@parl.gc.ca
Tatiana Auguste,,Terrebonne,,tatiana.auguste@parl.gc.ca
Chak Au,,Richmond Centre—Marpole,,chak.au@parl.gc.ca
Mel Arnold,,Kamloops—Shuswap—Central Rockies,,mel.arnold@parl.gc.ca
Carol Anstey,,Long Range Mountains,,carol.anstey@parl.gc.ca
Scott Anderson,,Vernon—Lake Country—Monashee,,scott.anderson@parl.gc.ca
Honourable Gary Anandasangaree,,Scarborough—Guildwood—Rouge Park,,gary.anand@parl.gc.ca
Honourable Anita Anand,,Oakville East,,Anita.Anand@parl.gc.ca
Honourable Rebecca Alty,,Northwest Territories,,rebecca.alty@parl.gc.ca
Dean Allison,,Niagara West,,dean.allison@parl.gc.ca
Honourable Shafqat Ali,,Brampton—Chinguacousy Park,,shafqat.ali@parl.gc.ca
Dan Albas,,Okanagan Lake West—South Kelowna,,dan.albas@parl.gc.ca
Fares Al Soud,,Mississauga Centre,,fares.abualsoud@parl.gc.ca
